Loop Number,Accuracy,Precision,Recall,F1-Score,CM-11,CM-21,CM-31,CM-12,CM-22,CM-32,CM-31,CM-32,CM-33
61,0.885245901639344,0.904693486590038,0.896759259259259,0.900708900369934,49,0,14,0,40,0,7,0,73
62,0.92896174863388,0.946455819114995,0.933465608465608,0.939915832772872,52,0,11,0,40,0,2,0,78
63,0.896174863387978,0.905598551177819,0.910714285714286,0.908149214086948,54,1,8,0,40,0,10,0,70
64,0.92896174863388,0.938104575163399,0.941335978835979,0.939717499053434,59,0,4,0,40,0,9,0,71
65,0.879781420765027,0.917157974300832,0.885846560846561,0.901230386778781,43,0,20,0,40,0,2,0,78
66,0.879781420765027,0.913431308035388,0.882804232804233,0.897856663867833,44,0,19,1,39,0,2,0,78
67,0.885245901639344,0.916008771929825,0.892261904761905,0.903979412104412,45,0,18,0,40,0,3,0,77
68,0.87431693989071,0.895562770562771,0.883134920634921,0.889305428593642,48,0,15,1,39,0,7,0,73
69,0.907103825136612,0.936915204678363,0.911177248677249,0.923867003398712,47,0,16,0,40,0,1,0,79
70,0.868852459016393,0.907070707070707,0.872222222222222,0.889305200744315,42,0,21,1,39,0,2,0,78
71,0.907103825136612,0.924261083743842,0.915674603174603,0.91994780807182,51,0,12,0,40,0,5,0,75
72,0.863387978142076,0.902291968656121,0.871097883597884,0.886420572763193,41,0,22,0,40,0,2,1,77
73,0.85792349726776,0.879091903016271,0.877380952380952,0.878235594394508,54,0,9,1,39,0,16,0,64
74,0.890710382513661,0.901256613756614,0.901256613756614,0.901256613756614,53,1,9,1,39,0,9,0,71
75,0.814207650273224,0.842317496952035,0.850462962962963,0.846370632431976,56,2,5,0,40,0,26,1,53
76,0.868852459016393,0.885913805846522,0.882010582010582,0.883957885159348,47,1,15,0,40,0,8,0,72
77,0.846994535519126,0.893910409692332,0.855224867724868,0.874139835560199,38,0,25,0,40,0,3,0,77
78,0.901639344262295,0.926044330775789,0.908134920634921,0.917002189602436,48,0,15,0,40,0,3,0,77
79,0.885245901639344,0.900514240506329,0.901256613756614,0.900885274193588,53,0,10,0,40,0,11,0,69
80,0.868852459016393,0.886507936507936,0.886507936507936,0.886507936507936,51,0,12,0,40,0,12,0,68
81,0.901639344262295,0.912161253530036,0.912632275132275,0.912396703540346,52,1,10,0,40,0,7,0,73
82,0.912568306010929,0.923932966745221,0.926587301587302,0.925258230514198,57,0,6,0,40,0,10,0,70
83,0.863387978142076,0.903198653198653,0.871097883597884,0.886857883057489,41,0,22,0,40,0,3,0,77
84,0.907103825136612,0.923174603174603,0.912301587301587,0.917705890387172,48,2,13,0,40,0,2,0,78
85,0.912568306010929,0.92463768115942,0.923544973544974,0.924091004329489,58,0,5,1,39,0,10,0,70
86,0.841530054644809,0.905450165612767,0.846560846560847,0.87501580000782,34,1,28,0,40,0,0,0,80
87,0.890710382513661,0.910781072904459,0.898677248677249,0.904688678354984,47,1,15,0,40,0,4,0,76
88,0.901639344262295,0.926044330775789,0.908134920634921,0.917002189602436,48,0,15,0,40,0,3,0,77
89,0.863387978142076,0.881658755274262,0.88234126984127,0.881999880520881,51,0,12,0,40,0,13,0,67
90,0.907103825136612,0.927811947684694,0.912301587301587,0.91999139889641,48,1,14,0,40,0,2,0,78
91,0.923497267759563,0.929516425965947,0.933796296296296,0.931651445882644,56,1,6,0,40,0,7,0,73
92,0.87431693989071,0.891086497890295,0.891798941798942,0.891442577497749,52,0,11,0,40,0,12,0,68
93,0.907103825136612,0.932903225806452,0.912301587301587,0.922487398315891,48,0,15,0,40,0,2,0,78
94,0.896174863387978,0.912711291413117,0.90734126984127,0.910018358567057,51,0,12,0,40,0,7,0,73
95,0.846994535519126,0.864496017756887,0.866798941798942,0.865645948132739,52,1,10,1,39,0,16,0,64
96,0.92896174863388,0.937950937950938,0.94021164021164,0.939079928502932,58,0,5,0,40,0,8,0,72
97,0.918032786885246,0.92506884343037,0.928505291005291,0.92678388170404,55,1,7,0,40,0,7,0,73
98,0.896174863387978,0.922652329749104,0.902843915343915,0.912640652240202,47,0,16,0,40,0,3,0,77
99,0.901639344262295,0.908320606596469,0.909259259259259,0.908789690553694,49,3,11,0,40,0,3,1,76
100,0.863387978142076,0.920634920634921,0.867724867724868,0.893397201089509,38,0,25,0,40,0,0,0,80
Average,0.879453551912568,NaN,0.89021626984127,NaN,49.11,0.66,13.23,0.14,39.46,0.4,7.58,0.05,72.37
